Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee
2001/02,29/09/01,Everton,West Ham,5,0,H,1,0,H,18,15,11,5,15,8,8,4,0,0,0,0,P. A. Durkin
2001/02,29/09/01,Middlesbrough,Southampton,1,3,A,0,0,D,5,8,3,4,16,17,6,0,0,1,0,0,A. G. Wiley
2001/02,29/09/01,Tottenham,Man United,3,5,A,3,0,H,7,18,3,9,16,10,4,7,3,3,0,0,J. T. Winter
2001/02,30/09/01,Aston Villa,Blackburn,2,0,H,0,0,D,5,4,2,1,9,15,2,8,2,2,0,0,M. R. Halsey
2001/02,30/09/01,Fulham,Chelsea,1,1,D,0,1,A,4,9,1,3,5,14,5,7,1,4,0,1,G. Poll
2001/02,30/09/01,Ipswich,Leeds,1,2,A,1,0,H,11,11,6,7,8,8,10,8,0,1,0,0,A. P. D'Urso
2001/02,30/09/01,Newcastle,Liverpool,0,2,A,0,1,A,7,6,3,2,14,23,7,0,1,4,0,0,G. P. Barber
2001/02,13/10/01,Bolton,Newcastle,0,4,A,0,1,A,9,15,3,8,10,9,7,8,2,2,1,0,M. A. Riley
2001/02,13/10/01,Charlton,Middlesbrough,0,0,D,0,0,D,8,11,4,4,14,13,13,4,2,1,0,0,D. R. Elleray
2001/02,13/10/01,Chelsea,Leicester,2,0,H,2,0,H,22,8,10,2,9,13,5,3,0,0,0,0,J. T. Winter
2001/02,13/10/01,Ipswich,Everton,0,0,D,0,0,D,7,9,4,6,8,5,8,6,0,1,0,0,C. R. Wilkes
2001/02,13/10/01,Liverpool,Leeds,1,1,D,0,1,A,10,9,2,3,11,14,6,4,3,2,0,0,A. G. Wiley
2001/02,13/10/01,Southampton,Arsenal,0,2,A,0,1,A,3,21,0,8,15,9,1,6,2,1,1,0,G. P. Barber
2001/02,13/10/01,Sunderland,Man United,1,3,A,0,1,A,15,13,7,8,12,15,3,4,0,0,0,0,G. Poll
2001/02,14/10/01,Aston Villa,Fulham,2,0,H,0,0,D,9,11,3,3,9,8,5,2,1,1,0,0,P. A. Durkin
2001/02,14/10/01,Blackburn,West Ham,7,1,H,3,1,H,24,12,14,5,8,6,7,7,1,3,0,1,A. P. D'Urso
2001/02,15/10/01,Tottenham,Derby,3,1,H,2,1,H,24,8,12,6,11,6,16,2,0,2,0,0,M. R. Halsey
2001/02,20/10/01,Arsenal,Blackburn,3,3,D,0,1,A,18,9,11,5,13,20,5,4,1,2,0,0,U. D. Rennie
2001/02,20/10/01,Derby,Charlton,1,1,D,1,0,H,10,11,5,7,12,11,5,5,3,0,0,0,A. P. D'Urso
2001/02,20/10/01,Everton,Aston Villa,3,2,H,1,0,H,10,11,6,3,15,14,8,4,0,1,0,0,R. Styles
2001/02,20/10/01,Leicester,Liverpool,1,4,A,0,3,A,8,12,3,6,11,13,6,6,1,2,0,0,M. R. Halsey
2001/02,20/10/01,Man United,Bolton,1,2,A,1,1,D,13,7,6,2,11,6,8,0,0,0,0,0,G. P. Barber
2001/02,20/10/01,West Ham,Southampton,2,0,H,0,0,D,20,10,8,3,16,16,10,7,0,1,0,1,N. S. Barry
2001/02,21/10/01,Fulham,Ipswich,1,1,D,1,0,H,7,6,3,2,25,17,3,3,2,3,1,0,M. A. Riley
2001/02,21/10/01,Leeds,Chelsea,0,0,D,0,0,D,18,14,12,6,20,17,10,8,2,3,0,0,P. A. Durkin
2001/02,21/10/01,Newcastle,Tottenham,0,2,A,0,2,A,8,9,3,3,16,10,7,2,2,1,0,0,A. G. Wiley
2001/02,22/10/01,Middlesbrough,Sunderland,2,0,H,2,0,H,7,15,5,5,18,16,4,5,1,2,1,0,M. R. Halsey
2001/02,24/10/01,Aston Villa,Charlton,1,0,H,1,0,H,16,4,6,0,6,8,3,4,0,0,0,0,D. Pugh
2001/02,24/10/01,Southampton,Ipswich,3,3,D,2,1,H,11,10,6,5,14,5,4,7,2,1,0,0,U. D. Rennie
