Date,home_team,away_team,result,predicted,confidence,correct
2026-05-09,Man City,Brentford,HomeWin,HomeWin,0.763,True
2025-05-10,Southampton,Man City,Draw,AwayWin,0.762,False
2023-12-06,Sheffield United,Liverpool,AwayWin,AwayWin,0.762,True
2023-08-25,Chelsea,Luton,HomeWin,HomeWin,0.761,True
2023-09-30,Wolves,Man City,HomeWin,AwayWin,0.761,False
2024-11-09,Liverpool,Aston Villa,HomeWin,HomeWin,0.76,True
2025-08-15,Liverpool,Bournemouth,HomeWin,HomeWin,0.76,True
2023-12-17,Liverpool,Man United,Draw,HomeWin,0.76,False
2024-02-10,Liverpool,Burnley,HomeWin,HomeWin,0.76,True
2022-09-17,Tottenham,Leicester,HomeWin,HomeWin,0.758,True
2025-04-01,Arsenal,Fulham,HomeWin,HomeWin,0.757,True
2026-05-24,Man City,Aston Villa,AwayWin,HomeWin,0.757,False
2023-02-04,Brighton,Bournemouth,HomeWin,HomeWin,0.756,True
2023-09-16,West Ham,Man City,AwayWin,AwayWin,0.756,True
2024-12-14,Arsenal,Everton,Draw,HomeWin,0.756,False
2023-05-28,Arsenal,Wolves,HomeWin,HomeWin,0.754,True
2025-01-19,Nott'm Forest,Southampton,HomeWin,HomeWin,0.754,True
2023-02-12,Man City,Aston Villa,HomeWin,HomeWin,0.754,True
2023-05-13,Man United,Wolves,HomeWin,HomeWin,0.753,True
2025-05-02,Man City,Wolves,HomeWin,HomeWin,0.753,True
2023-12-03,Chelsea,Brighton,HomeWin,HomeWin,0.753,True
2024-04-20,Wolves,Arsenal,AwayWin,AwayWin,0.751,True
2023-03-01,Arsenal,Everton,HomeWin,HomeWin,0.751,True
2022-10-15,Tottenham,Everton,HomeWin,HomeWin,0.751,True
2025-01-15,Arsenal,Tottenham,HomeWin,HomeWin,0.75,True
2025-12-03,Liverpool,Sunderland,Draw,HomeWin,0.749,False
2024-11-02,Liverpool,Brighton,HomeWin,HomeWin,0.749,True
2024-08-18,Chelsea,Man City,AwayWin,AwayWin,0.748,True
2023-12-10,Luton,Man City,AwayWin,AwayWin,0.748,True
2026-02-18,Wolves,Arsenal,Draw,AwayWin,0.747,False
2024-12-27,Arsenal,Ipswich,HomeWin,HomeWin,0.746,True
2024-02-17,Man City,Chelsea,Draw,HomeWin,0.746,False
2024-08-25,Liverpool,Brentford,HomeWin,HomeWin,0.746,True
2022-10-16,Liverpool,Man City,HomeWin,AwayWin,0.745,False
2023-03-11,Bournemouth,Liverpool,HomeWin,AwayWin,0.745,False
2024-08-31,West Ham,Man City,AwayWin,AwayWin,0.745,True
2025-05-25,Southampton,Arsenal,AwayWin,AwayWin,0.745,True
2022-12-26,Arsenal,West Ham,HomeWin,HomeWin,0.745,True
2025-04-20,Ipswich,Arsenal,AwayWin,AwayWin,0.744,True
2022-10-19,Liverpool,West Ham,HomeWin,HomeWin,0.744,True
2023-03-19,Arsenal,Crystal Palace,HomeWin,HomeWin,0.744,True
2025-02-25,Chelsea,Southampton,HomeWin,HomeWin,0.744,True
2025-11-29,Man City,Leeds,HomeWin,HomeWin,0.744,True
2023-04-15,Tottenham,Bournemouth,AwayWin,HomeWin,0.744,False
2024-04-23,Arsenal,Chelsea,HomeWin,HomeWin,0.743,True
2024-10-05,Crystal Palace,Liverpool,AwayWin,AwayWin,0.743,True
